Date,World,Africa,Asia,Europe,North_America,Oceania,South_America
3/01/2021,519796,21995,69200,167560,221449,41,39551
4/01/2021,557629,21775,72437,200840,211958,80,50539
5/01/2021,740429,26845,82714,276880,258086,123,95781
6/01/2021,791046,35789,87836,272331,292182,55,102853
7/01/2021,869273,35437,87806,300931,316538,89,128472
8/01/2021,835195,36440,67594,291532,334895,69,104665
9/01/2021,756094,35072,105022,232440,295727,44,87789
10/01/2021,600989,31638,76501,199660,232346,22,60822
11/01/2021,614394,27998,74361,213448,227245,127,71215
12/01/2021,692087,26070,82211,227082,253811,89,102824
13/01/2021,743001,34061,87302,259539,261215,100,100784
14/01/2021,758792,34247,86391,261349,266594,135,110076
15/01/2021,783588,31558,82619,260474,279951,66,128920
16/01/2021,656789,27528,85635,191349,251527,34,100716
17/01/2021,526856,26628,75258,158043,197956,19,68952
18/01/2021,517229,22417,64850,208392,162357,72,59141
19/01/2021,592488,23484,74824,205859,189265,14,99042
20/01/2021,686913,28336,81729,237436,221615,10,117787
21/01/2021,668167,27950,76528,238621,227841,139,97088
22/01/2021,663277,25980,75819,233578,225241,37,102622
23/01/2021,576618,27364,73224,175909,208418,13,91690
24/01/2021,461946,20181,66994,147533,159720,16,67502
25/01/2021,480518,16634,58697,197052,149977,66,58092
26/01/2021,561251,18607,76190,179407,179580,75,107392
27/01/2021,600401,20861,80057,215568,184703,48,99164
28/01/2021,615082,20778,82905,214264,196624,48,100463
29/01/2021,588311,19206,75885,206387,191571,37,95225
30/01/2021,514783,17868,74402,152710,176070,6,93727
31/01/2021,395973,15762,67451,130007,127945,7,54801
1/02/2021,443031,12690,65898,172769,140095,65,51514
2/02/2021,465487,14824,69339,161989,131502,7,87826
3/02/2021,524402,15462,77146,186295,147489,59,97951
4/02/2021,471419,16466,72842,162838,135179,26,84068
5/02/2021,536210,15932,68277,201261,167179,50,83511
6/02/2021,435142,13340,69996,135283,138282,10,78231
7/02/2021,351520,11941,66095,114566,102065,10,56843
8/02/2021,339088,11351,59623,127788,95589,36,44701
9/02/2021,407212,11292,68022,131786,114068,29,82015
10/02/2021,439915,13127,70879,158124,115950,31,81804
11/02/2021,443769,11918,65022,157481,126283,37,83028
12/02/2021,428873,13901,66952,150313,118665,15,79027
13/02/2021,380454,10931,63054,125603,107684,8,73174
14/02/2021,308632,10415,58728,99544,77734,8,62203
15/02/2021,280061,9840,59366,103160,65784,37,41874
16/02/2021,359521,9994,68763,124750,77314,56,78644
17/02/2021,386361,12166,69461,149201,85701,27,69805
18/02/2021,410497,14048,66741,157267,90128,27,82286
19/02/2021,409371,11044,67263,157486,90957,15,82606
20/02/2021,375161,9539,62696,134167,88499,21,80239
21/02/2021,318523,9511,67390,117493,65045,11,59073
22/02/2021,295586,9019,67372,105624,66152,107,47312
23/02/2021,392469,7752,73593,136110,89915,67,85032
24/02/2021,444135,10486,76531,171815,91609,48,93646
25/02/2021,452544,12366,75999,173101,92933,113,98032
26/02/2021,441514,11079,74901,168115,89981,20,97418
27/02/2021,396714,7832,69956,150222,84784,56,83864
28/02/2021,307779,9414,67983,123009,59806,10,47557
1/03/2021,305532,8789,69107,104881,59945,129,62681
2/03/2021,385767,7551,76536,142225,74269,27,85159
3/03/2021,441291,10864,80715,174285,82233,43,93151
4/03/2021,458447,12578,81080,178937,83397,21,102434
5/03/2021,448524,8537,81141,178453,81083,144,99166
6/03/2021,412855,9955,77423,157303,73919,6,94249
7/03/2021,374439,8473,77361,133812,50407,119,104267
8/03/2021,304386,9287,79423,103211,53792,161,58512
9/03/2021,414038,7805,83092,152321,71274,138,99408
10/03/2021,457891,10421,89908,183044,72190,56,102272
11/03/2021,489685,15221,91771,197302,76421,150,108820
12/03/2021,487895,9869,93760,192408,78255,52,113551
13/03/2021,455604,10330,88662,187621,68639,10,100342
14/03/2021,365072,8558,90727,152044,46574,397,66772
15/03/2021,352394,8518,93783,122429,60089,135,67440
16/03/2021,466477,9043,102250,176132,65487,126,113439
17/03/2021,545719,10987,115452,214569,74722,64,129925
18/03/2021,547931,11302,120266,222601,77156,199,116407
19/03/2021,560586,12621,121670,217284,76951,218,131842
20/03/2021,498430,9247,119759,196752,71723,456,100493
21/03/2021,440464,9135,125149,177039,44084,30,85027
22/03/2021,423403,9709,120678,154583,58263,296,79874
23/03/2021,505875,8597,134199,168860,68345,435,125439
24/03/2021,627832,10822,146519,247421,103068,384,119618
25/03/2021,652192,12574,154956,255312,82739,32,146579
26/03/2021,640039,18432,156540,241725,93275,579,129488
27/03/2021,584525,9599,152979,220884,77076,14,123973
28/03/2021,492654,8909,162439,180306,55510,561,84929
29/03/2021,455048,9745,152987,134069,77272,199,80776
30/03/2021,561454,9784,161275,193330,77571,302,119192
31/03/2021,673905,12699,183318,247826,85593,406,144063
1/04/2021,707925,22279,198573,251008,93301,149,142615
2/04/2021,644802,13071,210212,223658,84968,377,112516
3/04/2021,540337,8803,209025,166918,75718,152,79721
4/04/2021,559922,9551,223965,201813,46669,440,77484
5/04/2021,497016,9223,209385,111203,79939,393,86873
6/04/2021,604236,9612,246446,128634,87347,32,132165
7/04/2021,662472,11659,268500,142601,93207,263,146242
8/04/2021,835184,16813,279767,275818,99566,221,162999
9/04/2021,752184,12561,293212,182497,106174,28,157712
10/04/2021,670625,9714,289575,151630,89780,516,129410
11/04/2021,709606,9742,305973,237117,60321,125,96328
12/04/2021,613873,10212,302262,128559,77777,188,94875
13/04/2021,761671,9773,332476,171618,101560,259,145985
14/04/2021,810138,13922,356169,204848,95164,186,139849
15/04/2021,821222,12644,372419,206369,95083,219,134488
16/04/2021,858752,12054,388743,195743,102008,179,160025
17/04/2021,794011,13359,408503,162995,72132,39,136983
18/04/2021,699245,9351,415208,129291,55974,411,89010
19/04/2021,690967,8749,399993,110328,76369,250,95278
20/04/2021,838832,10122,448106,157107,80436,39,143022
21/04/2021,889263,11867,472672,188771,83301,24,132628
22/04/2021,898484,12470,482726,186818,87622,442,128406
23/04/2021,907691,12065,486087,176732,81660,15,151132
24/04/2021,824211,10152,473423,143492,70674,285,126185
25/04/2021,727561,9459,473472,110851,47143,89,86547
26/04/2021,689071,6861,441896,96953,58061,227,85073
